pizza_id,customer_id,employee_id,created_at,fulfilled_at
62,130,2,2025-01-01 11:19:00,2025-01-01 11:49:00
63,107,4,2025-01-01 16:24:00,2025-01-01 16:55:00
64,50,1,2025-01-01 12:00:00,2025-01-01 12:30:00
65,261,4,2025-01-01 20:20:00,2025-01-01 20:51:00
66,139,3,2025-01-01 19:39:00,2025-01-01 20:05:00
67,190,3,2025-01-01 11:20:00,2025-01-01 11:43:00
68,102,4,2025-01-02 13:47:00,2025-01-02 14:09:00
69,76,4,2025-01-02 19:28:00,2025-01-02 20:00:00
70,130,4,2025-01-02 17:12:00,2025-01-02 17:32:00
71,208,1,2025-01-02 11:43:00,2025-01-02 12:06:00
72,47,1,2025-01-02 17:45:00,2025-01-02 18:04:00
73,168,1,2025-01-02 19:20:00,2025-01-02 19:53:00
74,199,4,2025-01-02 20:51:00,2025-01-02 21:10:00
75,68,2,2025-01-02 18:23:00,2025-01-02 18:43:00
76,133,2,2025-01-02 18:20:00,2025-01-02 18:48:00
77,104,3,2025-01-02 11:59:00,2025-01-02 12:21:00
78,155,3,2025-01-02 19:43:00,2025-01-02 19:59:00
79,93,4,2025-01-02 16:42:00,2025-01-02 17:12:00
80,152,2,2025-01-02 12:14:00,2025-01-02 12:48:00
81,287,3,2025-01-02 11:42:00,2025-01-02 12:05:00
82,79,3,2025-01-02 12:52:00,2025-01-02 13:20:00
83,183,1,2025-01-02 21:44:00,2025-01-02 22:09:00
84,214,1,2025-01-02 11:32:00,2025-01-02 11:54:00
85,192,3,2025-01-02 21:30:00,2025-01-02 21:47:00
86,100,2,2025-01-02 10:00:00,2025-01-02 10:15:00
87,39,1,2025-01-02 17:48:00,2025-01-02 18:05:00
88,61,3,2025-01-02 21:53:00,2025-01-02 22:07:00
89,247,3,2025-01-02 16:48:00,2025-01-02 17:21:00
90,118,3,2025-01-02 12:15:00,2025-01-02 12:39:00
91,191,1,2025-01-02 19:23:00,2025-01-02 19:38:00
92,101,1,2025-01-02 19:08:00,2025-01-02 19:25:00
93,59,1,2025-01-02 20:07:00,2025-01-02 20:23:00
94,297,2,2025-01-02 20:18:00,2025-01-02 20:34:00
95,278,4,2025-01-02 18:56:00,2025-01-02 19:20:00
96,40,1,2025-01-02 20:11:00,2025-01-02 20:42:00
97,31,1,2025-01-02 13:52:00,2025-01-02 14:05:00
98,7,4,2025-01-02 20:10:00,2025-01-02 20:37:00
99,132,3,2025-01-02 11:48:00,2025-01-02 12:21:00
100,178,2,2025-01-02 13:37:00,2025-01-02 13:53:00
101,251,3,2025-01-02 20:01:00,2025-01-02 20:16:00
102,298,1,2025-01-02 20:08:00,2025-01-02 20:33:00
103,78,3,2025-01-02 14:02:00,2025-01-02 14:29:00
104,34,2,2025-01-02 18:55:00,2025-01-02 19:26:00
105,262,2,2025-01-02 17:07:00,2025-01-02 17:27:00
106,230,3,2025-01-02 12:01:00,2025-01-02 12:23:00
107,157,3,2025-01-02 17:56:00,2025-01-02 18:20:00
108,106,1,2025-01-02 21:53:00,2025-01-02 22:15:00
109,289,3,2025-01-02 20:24:00,2025-01-02 20:48:00
110,261,3,2025-01-02 18:54:00,2025-01-02 19:14:00
111,111,3,2025-01-02 11:25:00,2025-01-02 11:45:00
112,225,4,2025-01-02 17:23:00,2025-01-02 17:44:00
113,263,3,2025-01-02 11:49:00,2025-01-02 12:01:00
114,128,2,2025-01-02 19:34:00,2025-01-02 20:01:00
115,11,3,2025-01-02 12:19:00,2025-01-02 12:41:00
116,220,1,2025-01-02 20:12:00,2025-01-02 20:36:00
117,41,4,2025-01-02 10:00:00,2025-01-02 10:26:00
118,117,1,2025-01-02 20:12:00,2025-01-02 20:26:00
119,98,4,2025-01-02 21:03:00,2025-01-02 21:29:00
120,125,4,2025-01-02 11:59:00,2025-01-02 12:21:00
121,245,2,2025-01-02 19:00:00,2025-01-02 19:34:00
122,290,4,2025-01-02 10:07:00,2025-01-02 10:25:00
123,109,2,2025-01-02 21:38:00,2025-01-02 21:52:00
124,162,1,2025-01-02 20:16:00,2025-01-02 20:40:00
125,50,1,2025-01-02 10:00:00,2025-01-02 10:33:00
126,260,2,2025-01-02 18:39:00,2025-01-02 19:11:00
127,115,4,2025-01-02 10:00:00,2025-01-02 10:30:00
128,268,3,2025-01-02 19:58:00,2025-01-02 20:12:00
129,29,4,2025-01-02 20:27:00,2025-01-02 20:52:00
130,296,1,2025-01-02 19:39:00,2025-01-02 20:13:00
131,217,2,2025-01-02 12:48:00,2025-01-02 13:17:00
132,181,4,2025-01-02 11:25:00,2025-01-02 11:49:00
133,226,2,2025-01-02 12:12:00,2025-01-02 12:28:00
134,114,1,2025-01-02 13:33:00,2025-01-02 14:01:00
135,16,3,2025-01-02 14:20:00,2025-01-02 14:40:00
136,153,4,2025-01-02 18:00:00,2025-01-02 18:15:00
137,169,1,2025-01-03 18:15:00,2025-01-03 18:27:00
138,12,2,2025-01-03 17:59:00,2025-01-03 18:21:00
139,54,2,2025-01-03 17:24:00,2025-01-03 17:37:00
140,236,4,2025-01-03 21:53:00,2025-01-03 22:21:00
141,182,3,2025-01-03 10:53:00,2025-01-03 11:17:00
142,226,1,2025-01-03 16:59:00,2025-01-03 17:19:00
143,84,4,2025-01-03 13:38:00,2025-01-03 14:06:00
144,148,4,2025-01-03 13:14:00,2025-01-03 13:34:00
145,289,2,2025-01-03 12:53:00,2025-01-03 13:20:00
146,40,4,2025-01-03 18:50:00,2025-01-03 19:19:00
147,147,3,2025-01-03 19:29:00,2025-01-03 19:54:00
148,269,4,2025-01-03 11:02:00,2025-01-03 11:24:00
149,2,1,2025-01-03 19:33:00,2025-01-03 20:07:00
150,207,1,2025-01-03 10:08:00,2025-01-03 10:34:00
151,235,2,2025-01-03 19:09:00,2025-01-03 19:32:00
152,46,1,2025-01-03 21:53:00,2025-01-03 22:16:00
153,292,2,2025-01-03 20:31:00,2025-01-03 20:56:00
154,109,2,2025-01-03 10:52:00,2025-01-03 11:05:00
155,44,2,2025-01-03 21:25:00,2025-01-03 21:51:00
156,110,1,2025-01-03 16:07:00,2025-01-03 16:37:00
157,89,4,2025-01-03 21:53:00,2025-01-03 22:24:00
158,71,4,2025-01-03 20:37:00,2025-01-03 20:51:00
159,263,4,2025-01-03 13:44:00,2025-01-03 14:02:00
160,72,3,2025-01-03 16:01:00,2025-01-03 16:28:00
161,291,3,2025-01-03 21:53:00,2025-01-03 22:11:00
162,189,4,2025-01-03 18:07:00,2025-01-03 18:25:00
163,174,2,2025-01-03 18:50:00,2025-01-03 19:10:00
164,117,2,2025-01-03 14:42:00,2025-01-03 14:56:00
165,88,1,2025-01-03 19:59:00,2025-01-03 20:24:00
166,51,2,2025-01-03 19:59:00,2025-01-03 20:18:00
167,195,3,2025-01-03 12:53:00,2025-01-03 13:05:00
168,162,1,2025-01-03 11:54:00,2025-01-03 12:20:00
169,288,3,2025-01-03 12:24:00,2025-01-03 12:43:00
170,168,1,2025-01-03 19:59:00,2025-01-03 20:27:00
171,280,1,2025-01-03 15:59:00,2025-01-03 16:22:00
172,287,1,2025-01-03 18:03:00,2025-01-03 18:27:00
173,21,4,2025-01-03 20:51:00,2025-01-03 21:03:00
174,98,2,2025-01-03 17:19:00,2025-01-03 17:46:00
175,197,1,2025-01-03 19:02:00,2025-01-03 19:20:00
176,63,2,2025-01-03 13:14:00,2025-01-03 13:40:00
177,103,4,2025-01-03 15:31:00,2025-01-03 15:49:00
178,160,1,2025-01-03 10:09:00,2025-01-03 10:43:00
179,163,2,2025-01-03 21:08:00,2025-01-03 21:41:00
180,199,1,2025-01-03 12:07:00,2025-01-03 12:29:00
181,179,3,2025-01-03 18:45:00,2025-01-03 19:02:00
182,65,4,2025-01-03 12:48:00,2025-01-03 13:06:00
183,180,3,2025-01-03 17:50:00,2025-01-03 18:04:00
184,206,3,2025-01-03 10:00:00,2025-01-03 10:32:00
185,96,1,2025-01-03 11:20:00,2025-01-03 11:48:00
186,53,1,2025-01-03 18:27:00,2025-01-03 18:55:00
187,298,2,2025-01-03 12:52:00,2025-01-03 13:05:00
188,35,4,2025-01-03 14:00:00,2025-01-03 14:16:00
189,42,4,2025-01-03 20:29:00,2025-01-03 20:45:00
190,39,3,2025-01-03 10:51:00,2025-01-03 11:21:00
191,210,3,2025-01-03 15:07:00,2025-01-03 15:24:00
192,205,4,2025-01-03 11:47:00,2025-01-03 11:59:00
193,209,1,2025-01-03 10:00:00,2025-01-03 10:27:00
194,33,2,2025-01-03 10:00:00,2025-01-03 10:33:00
195,229,1,2025-01-03 12:30:00,2025-01-03 12:58:00
196,196,4,2025-01-03 19:09:00,2025-01-03 19:30:00
197,138,4,2025-01-03 14:47:00,2025-01-03 15:07:00
198,246,4,2025-01-03 19:00:00,2025-01-03 19:23:00
199,52,4,2025-01-03 19:40:00,2025-01-03 20:10:00
200,83,4,2025-01-03 12:27:00,2025-01-03 12:49:00
201,208,4,2025-01-03 16:47:00,2025-01-03 17:07:00
202,266,2,2025-01-03 17:44:00,2025-01-03 18:12:00
203,55,3,2025-01-03 14:46:00,2025-01-03 15:06:00
204,135,2,2025-01-03 10:00:00,2025-01-03 10:16:00
205,278,3,2025-01-03 16:17:00,2025-01-03 16:33:00
206,253,3,2025-01-03 13:21:00,2025-01-03 13:34:00
207,9,1,2025-01-03 18:00:00,2025-01-03 18:17:00
208,13,2,2025-01-03 18:42:00,2025-01-03 19:10:00
209,57,3,2025-01-03 12:25:00,2025-01-03 12:54:00
210,154,3,2025-01-03 14:45:00,2025-01-03 15:05:00
211,79,1,2025-01-03 19:55:00,2025-01-03 20:16:00
212,233,4,2025-01-03 10:00:00,2025-01-03 10:28:00
213,161,2,2025-01-03 18:41:00,2025-01-03 19:00:00
214,299,2,2025-01-03 18:30:00,2025-01-03 18:54:00
215,115,4,2025-01-03 16:21:00,2025-01-03 16:53:00
216,222,3,2025-01-03 11:03:00,2025-01-03 11:21:00
217,56,1,2025-01-03 18:52:00,2025-01-03 19:05:00
218,225,1,2025-01-03 18:45:00,2025-01-03 19:05:00
219,60,1,2025-01-03 19:33:00,2025-01-03 20:01:00
220,294,4,2025-01-03 20:33:00,2025-01-03 20:57:00
221,59,4,2025-01-03 14:04:00,2025-01-03 14:34:00
222,94,2,2025-01-03 19:44:00,2025-01-03 20:14:00
223,107,1,2025-01-03 18:49:00,2025-01-03 19:22:00
224,252,3,2025-01-03 12:16:00,2025-01-03 12:28:00
225,49,4,2025-01-03 16:41:00,2025-01-03 16:57:00
226,101,2,2025-01-03 20:43:00,2025-01-03 21:10:00
227,159,1,2025-01-03 11:28:00,2025-01-03 11:46:00
228,153,1,2025-01-03 21:00:00,2025-01-03 21:22:00
229,58,2,2025-01-03 19:45:00,2025-01-03 19:57:00
230,157,3,2025-01-03 12:41:00,2025-01-03 13:02:00
231,5,1,2025-01-03 20:11:00,2025-01-03 20:37:00
232,221,4,2025-01-03 16:42:00,2025-01-03 16:59:00
233,77,1,2025-01-03 15:21:00,2025-01-03 15:55:00
234,131,2,2025-01-03 15:01:00,2025-01-03 15:16:00
235,231,1,2025-01-03 17:29:00,2025-01-03 17:47:00
236,158,2,2025-01-03 21:44:00,2025-01-03 22:14:00
237,99,4,2025-01-03 12:32:00,2025-01-03 12:44:00
238,25,1,2025-01-03 17:22:00,2025-01-03 17:44:00
239,129,1,2025-01-03 19:38:00,2025-01-03 19:58:00
240,87,1,2025-01-03 10:00:00,2025-01-03 10:27:00
241,258,3,2025-01-03 21:24:00,2025-01-03 21:49:00
242,270,4,2025-01-03 16:05:00,2025-01-03 16:27:00
243,32,4,2025-01-03 20:48:00,2025-01-03 21:01:00
244,190,2,2025-01-03 18:02:00,2025-01-03 18:20:00
245,22,2,2025-01-03 18:08:00,2025-01-03 18:21:00
246,170,1,2025-01-03 19:49:00,2025-01-03 20:20:00
247,61,2,2025-01-03 17:17:00,2025-01-03 17:35:00
248,133,1,2025-01-03 21:53:00,2025-01-03 22:26:00
249,75,2,2025-01-03 15:23:00,2025-01-03 15:52:00
250,34,1,2025-01-03 21:45:00,2025-01-03 21:58:00
251,217,2,2025-01-03 18:15:00,2025-01-03 18:38:00
252,181,1,2025-01-03 13:42:00,2025-01-03 14:12:00
253,43,2,2025-01-03 12:28:00,2025-01-03 12:54:00
254,214,2,2025-01-03 18:30:00,2025-01-03 19:02:00
255,186,4,2025-01-03 19:54:00,2025-01-03 20:26:00
256,119,4,2025-01-03 13:15:00,2025-01-03 13:41:00
257,80,3,2025-01-03 15:29:00,2025-01-03 15:52:00
258,202,2,2025-01-03 20:26:00,2025-01-03 20:46:00
259,10,3,2025-01-03 16:42:00,2025-01-03 17:12:00
260,261,3,2025-01-03 17:50:00,2025-01-03 18:06:00
261,95,3,2025-01-03 11:59:00,2025-01-03 12:15:00
262,38,1,2025-01-03 10:02:00,2025-01-03 10:22:00
263,70,3,2025-01-03 21:06:00,2025-01-03 21:25:00
264,286,1,2025-01-03 10:28:00,2025-01-03 10:40:00
265,273,3,2025-01-03 18:17:00,2025-01-03 18:47:00
266,250,2,2025-01-03 18:59:00,2025-01-03 19:31:00
267,171,4,2025-01-03 19:46:00,2025-01-03 20:18:00
268,26,1,2025-01-03 21:41:00,2025-01-03 22:14:00
269,36,4,2025-01-03 21:53:00,2025-01-03 22:21:00
270,204,4,2025-01-03 12:43:00,2025-01-03 13:14:00
271,19,1,2025-01-03 18:55:00,2025-01-03 19:16:00
272,4,3,2025-01-03 13:24:00,2025-01-03 13:43:00
273,248,1,2025-01-03 21:08:00,2025-01-03 21:34:00
274,68,2,2025-01-03 14:05:00,2025-01-03 14:34:00
275,198,2,2025-01-03 20:21:00,2025-01-03 20:42:00
276,296,1,2025-01-03 17:24:00,2025-01-03 17:39:00
277,91,2,2025-01-03 13:08:00,2025-01-03 13:38:00
278,149,4,2025-01-03 19:06:00,2025-01-03 19:37:00
279,92,1,2025-01-03 19:13:00,2025-01-03 19:46:00
280,85,3,2025-01-03 18:55:00,2025-01-03 19:23:00
281,120,1,2025-01-03 12:50:00,2025-01-03 13:06:00
282,74,4,2025-01-03 18:17:00,2025-01-03 18:34:00
283,274,1,2025-01-03 12:56:00,2025-01-03 13:17:00
284,192,2,2025-01-03 20:11:00,2025-01-03 20:37:00
285,111,2,2025-01-03 20:27:00,2025-01-03 20:51:00
286,41,3,2025-01-03 16:28:00,2025-01-03 16:42:00
287,45,2,2025-01-03 12:06:00,2025-01-03 12:22:00
288,242,3,2025-01-03 20:13:00,2025-01-03 20:47:00
289,145,3,2025-01-03 11:58:00,2025-01-03 12:13:00
290,241,3,2025-01-03 19:12:00,2025-01-03 19:28:00
291,265,2,2025-01-03 19:21:00,2025-01-03 19:43:00
292,122,3,2025-01-03 11:26:00,2025-01-03 11:38:00
293,140,4,2025-01-03 19:25:00,2025-01-03 19:39:00
294,283,4,2025-01-03 18:39:00,2025-01-03 19:03:00
295,184,2,2025-01-03 10:00:00,2025-01-03 10:15:00
296,66,3,2025-01-03 15:37:00,2025-01-03 15:59:00
297,134,3,2025-01-03 11:54:00,2025-01-03 12:07:00
298,7,2,2025-01-03 11:00:00,2025-01-03 11:25:00
299,260,4,2025-01-04 20:12:00,2025-01-04 20:35:00
300,91,2,2025-01-04 10:51:00,2025-01-04 11:25:00
301,201,4,2025-01-04 16:11:00,2025-01-04 16:35:00
302,267,4,2025-01-04 13:16:00,2025-01-04 13:35:00
303,141,3,2025-01-04 17:50:00,2025-01-04 18:08:00
304,271,3,2025-01-04 21:53:00,2025-01-04 22:25:00
305,95,3,2025-01-04 16:07:00,2025-01-04 16:20:00
306,228,2,2025-01-04 19:56:00,2025-01-04 20:30:00
307,183,2,2025-01-04 19:51:00,2025-01-04 20:13:00
308,107,3,2025-01-04 17:05:00,2025-01-04 17:26:00
309,79,1,2025-01-04 14:13:00,2025-01-04 14:30:00
310,176,4,2025-01-04 14:44:00,2025-01-04 15:08:00
311,57,1,2025-01-04 19:18:00,2025-01-04 19:33:00
312,193,2,2025-01-04 19:25:00,2025-01-04 19:48:00
313,23,3,2025-01-04 12:20:00,2025-01-04 12:34:00
314,55,2,2025-01-04 19:03:00,2025-01-04 19:18:00
315,156,4,2025-01-04 21:17:00,2025-01-04 21:29:00
316,150,4,2025-01-04 19:24:00,2025-01-04 19:46:00
317,204,1,2025-01-04 10:37:00,2025-01-04 11:10:00
318,165,3,2025-01-04 17:44:00,2025-01-04 18:07:00
319,74,2,2025-01-04 12:05:00,2025-01-04 12:29:00
320,108,2,2025-01-04 19:22:00,2025-01-04 19:44:00
321,34,1,2025-01-04 12:17:00,2025-01-04 12:35:00
322,289,1,2025-01-04 17:07:00,2025-01-04 17:38:00
323,122,2,2025-01-04 20:33:00,2025-01-04 20:46:00
324,67,1,2025-01-04 20:19:00,2025-01-04 20:41:00
325,206,1,2025-01-04 17:50:00,2025-01-04 18:02:00
326,171,2,2025-01-04 19:56:00,2025-01-04 20:30:00
327,282,2,2025-01-04 15:24:00,2025-01-04 15:38:00
328,240,3,2025-01-04 19:43:00,2025-01-04 20:07:00
329,84,3,2025-01-04 14:28:00,2025-01-04 14:58:00
330,46,1,2025-01-04 21:53:00,2025-01-04 22:18:00
331,66,2,2025-01-04 20:10:00,2025-01-04 20:41:00
332,194,4,2025-01-04 17:14:00,2025-01-04 17:28:00
333,33,3,2025-01-04 10:22:00,2025-01-04 10:43:00
334,195,3,2025-01-04 18:49:00,2025-01-04 19:14:00
335,36,3,2025-01-04 11:43:00,2025-01-04 12:10:00
336,172,4,2025-01-04 12:04:00,2025-01-04 12:31:00
337,173,2,2025-01-04 19:38:00,2025-01-04 20:12:00
338,265,2,2025-01-04 12:21:00,2025-01-04 12:36:00
339,186,3,2025-01-04 13:15:00,2025-01-04 13:40:00
340,215,3,2025-01-04 15:37:00,2025-01-04 15:59:00
341,234,1,2025-01-04 10:00:00,2025-01-04 10:27:00
342,24,2,2025-01-04 16:04:00,2025-01-04 16:24:00
343,76,1,2025-01-04 17:34:00,2025-01-04 17:49:00
344,42,4,2025-01-04 17:58:00,2025-01-04 18:17:00
345,30,2,2025-01-04 17:17:00,2025-01-04 17:33:00
346,235,2,2025-01-04 11:37:00,2025-01-04 11:57:00
347,264,1,2025-01-04 20:02:00,2025-01-04 20:35:00
348,246,1,2025-01-04 10:00:00,2025-01-04 10:16:00
349,162,2,2025-01-04 16:41:00,2025-01-04 17:15:00
350,192,2,2025-01-04 19:13:00,2025-01-04 19:40:00
351,51,4,2025-01-04 10:00:00,2025-01-04 10:31:00
352,70,3,2025-01-04 10:00:00,2025-01-04 10:16:00
353,10,4,2025-01-04 12:28:00,2025-01-04 12:53:00
354,159,4,2025-01-04 18:19:00,2025-01-04 18:38:00
355,96,4,2025-01-04 12:43:00,2025-01-04 13:02:00
356,63,4,2025-01-04 12:36:00,2025-01-04 13:00:00
357,18,1,2025-01-04 20:21:00,2025-01-04 20:34:00
358,31,3,2025-01-04 20:06:00,2025-01-04 20:26:00
359,1,1,2025-01-04 11:04:00,2025-01-04 11:33:00
360,223,3,2025-01-04 11:40:00,2025-01-04 12:10:00
361,187,1,2025-01-04 15:11:00,2025-01-04 15:45:00
362,254,4,2025-01-04 10:06:00,2025-01-04 10:39:00
363,97,2,2025-01-04 11:06:00,2025-01-04 11:22:00
364,160,1,2025-01-04 11:57:00,2025-01-04 12:21:00
365,268,4,2025-01-04 20:58:00,2025-01-04 21:26:00
366,185,2,2025-01-04 10:00:00,2025-01-04 10:32:00
367,191,2,2025-01-04 10:44:00,2025-01-04 11:11:00
368,59,1,2025-01-04 18:47:00,2025-01-04 19:19:00
369,50,4,2025-01-04 11:47:00,2025-01-04 12:21:00
370,52,3,2025-01-04 18:43:00,2025-01-04 18:55:00
371,58,2,2025-01-04 18:35:00,2025-01-04 18:51:00
372,158,4,2025-01-04 14:25:00,2025-01-04 14:58:00
373,256,4,2025-01-04 17:22:00,2025-01-04 17:46:00
374,94,3,2025-01-04 19:30:00,2025-01-04 19:49:00
375,22,3,2025-01-04 20:28:00,2025-01-04 20:46:00
376,60,3,2025-01-04 13:23:00,2025-01-04 13:52:00
377,102,4,2025-01-04 15:51:00,2025-01-04 16:18:00
378,129,4,2025-01-04 18:47:00,2025-01-04 19:03:00
379,41,2,2025-01-04 12:04:00,2025-01-04 12:30:00
380,71,1,2025-01-04 19:04:00,2025-01-04 19:19:00
381,216,2,2025-01-04 20:09:00,2025-01-04 20:39:00
382,136,4,2025-01-04 10:00:00,2025-01-04 10:15:00
383,257,2,2025-01-04 12:09:00,2025-01-04 12:38:00
384,177,3,2025-01-04 11:00:00,2025-01-04 11:26:00
385,214,3,2025-01-04 21:23:00,2025-01-04 21:37:00
386,205,3,2025-01-04 18:25:00,2025-01-04 18:59:00
387,28,4,2025-01-04 19:59:00,2025-01-04 20:27:00
388,217,1,2025-01-04 19:02:00,2025-01-04 19:32:00
389,80,4,2025-01-04 17:14:00,2025-01-04 17:48:00
390,121,2,2025-01-04 19:47:00,2025-01-04 20:14:00
391,231,2,2025-01-04 12:01:00,2025-01-04 12:21:00
392,294,1,2025-01-04 18:09:00,2025-01-04 18:32:00
393,174,2,2025-01-04 18:42:00,2025-01-04 19:11:00
394,25,1,2025-01-04 18:22:00,2025-01-04 18:39:00
395,89,4,2025-01-04 18:01:00,2025-01-04 18:31:00
396,199,3,2025-01-04 14:06:00,2025-01-04 14:27:00
397,182,3,2025-01-04 11:31:00,2025-01-04 11:44:00
398,142,4,2025-01-04 14:07:00,2025-01-04 14:39:00
399,77,4,2025-01-04 12:10:00,2025-01-04 12:23:00
400,20,1,2025-01-04 19:42:00,2025-01-04 20:10:00
401,273,4,2025-01-04 16:37:00,2025-01-04 16:50:00
402,143,4,2025-01-04 16:36:00,2025-01-04 16:54:00
403,161,1,2025-01-04 21:14:00,2025-01-04 21:47:00
404,225,1,2025-01-04 20:56:00,2025-01-04 21:08:00
405,169,2,2025-01-04 17:39:00,2025-01-04 17:59:00
406,296,2,2025-01-04 20:31:00,2025-01-04 20:54:00
407,197,3,2025-01-04 11:11:00,2025-01-04 11:36:00
408,285,3,2025-01-04 19:42:00,2025-01-04 20:09:00
409,239,2,2025-01-04 19:51:00,2025-01-04 20:23:00
410,213,4,2025-01-04 15:03:00,2025-01-04 15:30:00
411,157,4,2025-01-04 12:58:00,2025-01-04 13:11:00
412,287,1,2025-01-04 19:46:00,2025-01-04 20:08:00
413,115,4,2025-01-04 13:28:00,2025-01-04 13:42:00
414,269,3,2025-01-04 12:01:00,2025-01-04 12:22:00
415,85,3,2025-01-04 11:38:00,2025-01-04 12:00:00
416,15,3,2025-01-04 20:32:00,2025-01-04 20:49:00
417,7,2,2025-01-04 18:07:00,2025-01-04 18:28:00
418,48,4,2025-01-04 21:53:00,2025-01-04 22:20:00
419,98,4,2025-01-04 17:39:00,2025-01-04 17:59:00
420,3,1,2025-01-04 20:34:00,2025-01-04 20:47:00
421,112,4,2025-01-04 11:46:00,2025-01-04 12:09:00
422,37,2,2025-01-04 17:01:00,2025-01-04 17:24:00
423,189,1,2025-01-04 20:32:00,2025-01-04 20:50:00
424,86,4,2025-01-04 18:40:00,2025-01-04 18:55:00
425,11,2,2025-01-04 13:03:00,2025-01-04 13:34:00
426,45,2,2025-01-04 14:48:00,2025-01-04 15:05:00
427,120,3,2025-01-04 11:24:00,2025-01-04 11:55:00
428,209,3,2025-01-04 17:27:00,2025-01-04 17:53:00
429,123,3,2025-01-04 18:05:00,2025-01-04 18:30:00
430,236,2,2025-01-04 21:53:00,2025-01-04 22:22:00
431,133,4,2025-01-04 17:53:00,2025-01-04 18:13:00
432,127,1,2025-01-04 17:51:00,2025-01-04 18:12:00
433,232,3,2025-01-04 17:33:00,2025-01-04 17:47:00
434,111,3,2025-01-04 17:52:00,2025-01-04 18:24:00
435,81,3,2025-01-04 12:59:00,2025-01-04 13:21:00
